Wave,Player,Rank,Upside,Safety,FanDuel,DraftKings,Difference,Ownership,OverallModelScore,OverallSum,UpsideSum,SafetySum,StatsRank,CourseHistoryRank,RecentFormRank
PM,Scottie Scheffler,1,2,5,"$13,800","$14,000",-$200,25.6%,1000,2.8,2.5,5.5,0.4,0.3,2.1
AM,Rory McIlroy,2,1,1,"$12,500","$11,600",$900,14.1%,999,2.9,2.35,2.85,0.8,1.2,0.9
PM,Jon Rahm,3,3,1,"$11,900","$10,000","$1,900",24.5%,978,4.7,4.35,2.85,2,2.1,0.6
PM,Ludvig Aberg,4,7,3,"$11,600","$9,800","$1,800",17.1%,970,5.4,7.4,4.9,3.6,0.6,1.2
AM,Xander Schauffele,5,4,4,"$11,300","$9,600","$1,700",21.2%,966,5.8,4.5,5,1.6,2.7,1.5
AM,Collin Morikawa,6,8,7,"$10,700","$9,500","$1,200",5.5%,958,6.5,7.75,7.75,3.2,0.9,2.4
AM,Tommy Fleetwood,7,6,10,"$11,100","$9,300","$1,800",13.8%,943,7.8,7.1,9.1,2.4,2.4,3
AM,Bryson DeChambeau,8,5,8,"$12,100","$10,200","$1,900",19.4%,895,12,5.7,8.7,1.2,8.1,2.7
AM,Matt Fitzpatrick,9,11,9,"$10,900","$8,700","$2,200",16.5%,875,13.8,14.9,8.9,7.2,4.8,1.8
AM,Russell Henley,10,9,14,"$9,700","$7,900","$1,800",9.0%,857,15.4,12.5,16.5,4,6,5.4
AM,Patrick Reed,11,17,16,"$10,100","$9,000","$1,100",14.4%,849,16.1,19.55,20.05,8,1.8,6.3
AM,Cameron Young,12,15,6,"$10,800","$9,200","$1,600",16.3%,820,18.6,16.6,6.6,8.4,9.9,0.3
AM,Hideki Matsuyama,13,18,24,"$10,600","$8,900","$1,700",12.5%,818,18.8,19.9,26.4,6.8,3,9
PM,Corey Conners,14,10,27,"$9,300","$7,700","$1,600",10.6%,812,19.3,14.25,27.25,2.8,6.6,9.9
AM,Viktor Hovland,15,16,21,"$10,000","$8,800","$1,200",8.2%,810,19.5,18.15,24.15,6,5.4,8.1
AM,Patrick Cantlay,16,14,25,"$9,600","$7,900","$1,700",6.8%,805,20,16.5,26.5,4.4,6.3,9.3
PM,Si Woo Kim,17,12,11,"$9,700","$7,800","$1,900",11.0%,802,20.2,15.7,13.2,6.4,10.5,3.3
PM,Jordan Spieth,18,23,22,"$10,200","$8,400","$1,800",12.2%,792,21.1,24.55,25.05,10,3.3,7.8
PM,Maverick McNealy,19,21,18,"$8,800","$7,200","$1,600",9.7%,766,23.4,23.1,21.1,9.6,7.8,6
PM,Robert MacIntyre,20,12,12,"$10,300","$8,600","$1,700",12.1%,757,24.2,15.7,15.7,5.6,14.4,4.2
